MätplatsID;Mätplatsnamn;MätplatsBeskrivning;Sträcka;RiktplatsA;RiktplatsB;R1;R2;koordinater.mätpunkter.R1;koordinater.mätpunkter.R2
6669;C 0112 Torsgatan Södra;Cykelbana längs Torsgatan Id: 100027673;Torsgatan;Östra Järnvägsgatan;Lokstallsgatan;Östra Järnvägsgatan => Lokstallsgatan;Lokstallsgatan => Östra Järnvägsgatan;MultiPoint(152815.273 6580092.54);MultiPoint(152814.014 6580090.022)
6670;C 0112 Torsgatan Norra;Cykelbana längs Torsgatan Id: 100027670;Torsgatan;Torsgatan;Kammakargatan;Torsgatan => Kammakargatan;Kammakargatan => Torsgatan;MultiPoint(152863.745 6580089.744);MultiPoint(152862.486 6580086.769)
6672;C 0112 Sveavägen Västra;Cykelbana längs Sveavägen Id: 100027671;Sveavägen;Kammakargatan;Adolf Fredriks Kyrkogata;Kammakargatan => Adolf Fredriks Kyrkogata;Adolf Fredriks Kyrkogata => Kammakargatan;MultiPoint(153450.209 6580365.125, 153450.667 6580363.878);MultiPoint(153453.643 6580366.579, 153454.1 6580365.709)
6673;C 0112 Sveavägen Östra;Cykelbana längs Sveavägen Id: 100027669;Sveavägen;Adolf Fredriks Kyrkogata;Kammakargatan;Adolf Fredriks Kyrkogata => Kammakargatan;Kammakargatan => Adolf Fredriks Kyrkogata;MultiPoint(153470.333 6580374.078, 153470.791 6580373.06);MultiPoint(153468.13 6580372.819, 153468.502 6580371.802)
6679;C 0509 Liljeholmsbron Västra;Cykelbana längs Liljeholmsbron Västra;Liljeholmsbron Västra;Södermalm;Liljeholmen;Södermalm => Liljeholmen;Liljeholmen => Södermalm;MultiPoint(151651.179 6577424.811, 151651.294 6577425.141);MultiPoint(151649.348 6577426.87, 151649.577 6577427.087)
6680;C 0517 Västbergarondellen;Cykelbana längs Södertäljevägen;Västbergarondellen;Västbergamotet;Midsommarkransen;Västbergamotet => Midsommarkransen;Midsommarkransen => Västbergamotet;MultiPoint(150274.189 6575805.658, 150275.116 6575805.073, 150276.031 6575804.157, 150274.887 6575805.427);MultiPoint(150269.345 6575810.081, 150268.364 6575811.024, 150267.563 6575811.939, 150269.393 6575810.918)
6729;C Strömbron;STRÖMBRON delen Strömgatan - Slottskajen;Strömbron;Slottskajen;Strömgatan;Slottskajen => Strömgatan;Strömgatan => Slottskajen;MultiPoint(154163.684 6579237.836);MultiPoint(154160.6 6579372.5)
6640;C 0107 Tranebergsbron;Cykelbana längs Tranebergsbron;Tranebergsbron;Tranebergsslingan;Tranebergsbron;Tranebergsslingan => Tranebergsbron;Tranebergsbron => Tranebergsslingan;MultiPoint(149528.653 6579813.446, 149527.822 6579813.292, 149528.076 6579813.165, 149527.359 6579813.023);MultiPoint(149527.12 6579819.378, 149528.203 6579819.393, 149527.822 6579819.521, 149528.732 6579819.889)
6641;C 0101 Karlberg;Cykelbana mellan Rörstandsgatan och Karlberg Id: 100010666;Karlbergstunneln GC;Karlbergs strand;Rörstrandsgatan;Karlbergs strand => Rörstrandsgatan;Rörstrandsgatan => Karlbergs strand;MultiPoint(151573.781 6580649.647, 151573.64 6580650.47, 151574.938 6580649.827, 151574.593 6580650.845);MultiPoint(151573.552 6580655.369, 151574.67 6580655.164, 151574.594 6580656.348, 151573.563 6580657.024)
6657;C 0526 Årstabergsvägen;Cykelbana längs Årstabergsvägen Serienummer: Y2I18034766 Id: 100044433;Årstabergsvägen;Sjöviksbacken;Årstabergs station;Sjöviksbacken => Årstabergs station;Årstabergs station => Sjöviksbacken;MultiPoint(151615.866 6576107.299, 151614.647 6576108.913);MultiPoint(151618.985 6576109.845, 151617.622 6576111.66)
6628;C 0630 Huvudstabron Östra;Cykelbana längs Huvudstaleden Serienummer: Y2G13114761 Id: 100011578;Huvudstaleden;Bromma;Solna;Bromma => Solna;Solna => Bromma;MultiPoint(148324.122 6581508.822);MultiPoint(148317.37 6581513.857)
6634;C 0628 Spångavägen Österut;Cykelbana längs Spångavägen Serienummer: Y2G14086173 Id: 100015309;Spångavägen;Bällstavägen;Norlindsvägen;Bällstavägen => Norlindsvägen;Norlindsvägen => Bällstavägen;MultiPoint(144955.384 6582345.195, 144956.245 6582344.112, 144957.04 6582343.176);MultiPoint(144958.76 6582347.483, 144959.564 6582345.829, 144960.245 6582344.663)
6638;C 0619 Brommaplan Norra sidan;Cykelbana längs Drottningholmsvägen Serienummer: Y2G13104542 Id: 100010662;Drottningholmsvägen;Riksbyvägen;Brommaplan;Riksbyvägen => Brommaplan;Brommaplan => Riksbyvägen;MultiPoint(146652.586 6580499.115, 146651.802 6580499.451, 146651.001 6580499.783);MultiPoint(146651.671 6580496.654, 146650.887 6580496.82, 146650.085 6580497.036)
6639;C 0619 Brommaplan Syd;Cykelbana längs Drottningholmsvägen;Drottningholmsvägen;Abrahamsbergsvägen;Brommaplan;Abrahamsbergsvägen => Brommaplan;Brommaplan => Abrahamsbergsvägen;MultiPoint(146683.187 6580460.331, 146680.609 6580461.523, 146681.671 6580461.102);MultiPoint(146682.157 6580457.241, 146679.464 6580458.217, 146680.756 6580457.783)
6644;C 0109 Västerbron Västra;Cykelbana längs Västerbron;Västerbron;Västerbroplan;Västerbron;Västerbroplan => Västerbron;Västerbron => Västerbroplan;MultiPoint(151350.914 6579107.125, 151353.157 6579104.635, 151351.662 6579105.892);MultiPoint(151353.431 6579109.071, 151355.828 6579106.796, 151352.806 6579110.012)
6649;C 0321 Danvikstullsbron;Cykelbana längs Värmdövägen;Danviksbron;Tegelviksgatan;Kvarnholmsvägen;Tegelviksgatan => Kvarnholmsvägen;Kvarnholmsvägen => Tegelviksgatan;MultiPoint(156077.213 6577513.733, 156077.843 6577513.103, 156081.25 6577513.43);MultiPoint(156079.502 6577515.45, 156080.36 6577514.248, 156078.554 6577512.269)
6652;C 0319 Skansbron Västra;Cykelbana Skansbron västra sidan Id: 100001831;Skansbron;Hammarby Slussväg;Skansbron;Hammarby Slussväg => Skansbron;Skansbron => Hammarby Slussväg;MultiPoint(154524.901 6576523.359, 154525.28 6576522.217, 154526.045 6576522.513);MultiPoint(154527.79 6576524.074, 154528.027 6576523.018, 154526.961 6576522.627)
6658;C 0507 Hägerstensvägen Norra;Cykelbana längs Hägerstensvägen Serienummer: Y2G13104549 Id: 100010669;Hägerstensvägen;Fågeltorget;Örnsbergsvägen;Fågeltorget => Örnsbergsvägen;Örnsbergsvägen => Fågeltorget;MultiPoint(149411.403 6576658.942, 149411.201 6576660.404, 149410.973 6576661.892);MultiPoint(149411.86 6576655.051, 149412.117 6576653.652, 149412.231 6576652.279)
6659;C 0507 Hägerstensvägen Södra;Cykelbana längs Hägerstensvägen Serienummer: Y2G13114764 Id: 100011581;Hägerstensvägen;Typografvägen;Fågeltorget;Typografvägen => Fågeltorget;Fågeltorget => Typografvägen;MultiPoint(149420.672 6576639.716, 149421.158 6576636.829, 149420.929 6576638.317);MultiPoint(149420.309 6576642.285, 149419.899 6576643.581, 149419.67 6576645.184)
6661;C 0419 Huddingevägen Östra;Cykelbana längs Huddingevägen Serienummer: Y2G14086170 Id: 100015306;Huddingevägen;Sickmundsvägen;Rågsvedsvägen;Sickmundsvägen => Rågsvedsvägen;Rågsvedsvägen => Sickmundsvägen;MultiPoint(150762.177 6571036.892, 150761.604 6571035.519);MultiPoint(150761.833 6571039.867, 150760.803 6571037.922)
6666;C 0207 Hjorthagen;Cykelbana längs Södra Fiskartorpsvägen;Fiskartorpsvägen;Södra Fiskartorpsvägen;Uggleängsvägen;Södra Fiskartorpsvägen => Uggleängsvägen;Uggleängsvägen => Södra Fiskartorpsvägen;MultiPoint(154786.949 6581893.559, 154786.495 6581892.769, 154786.491 6581892.071);MultiPoint(154784.088 6581894.131, 154783.862 6581893.227, 154783.859 6581892.643)
6685;C 0103 Sankt Eriksgatan Västra;Cykelbana längs S:t Eriksgatan;Sankt Eriksgatan;Rörstrandsgatan;Sankt Eriksbron;Rörstrandsgatan => Sankt Eriksbron;Sankt Eriksbron => Rörstrandsgatan;MultiPoint(152026.39 6580377.541, 152026.006 6580376.404);MultiPoint(152029.051 6580376.025, 152028.585 6580374.686)
